URI,Latitude (WGS-84),Longitude (WGS-84),Location,Early BCE/CE,Late BCE/CE,Has type,Consists of,Vessel Form,Decorative Technique,Condition,Object Type (notes),Description
http://opencontext.org/subjects/3C33A62A-0A21-4C1B-B285-B9BB5AC83053,43.15300986,11.40126328,"43.1530098628913,11.4012632782634",-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Letters; Inscribed,,Inscribed Bucchero Foot,
http://opencontext.org/subjects/D245557D-7049-4C31-44AC-437F08CDCED1,43.15266921,11.40210472,"43.152669213869,11.4021047240494",-700,-535,vessel; bowl,pottery,Bowl,,"Restored from numerous fragments. Rim is chipped; body, base and stem are complete; foot is partial, badly warped.",Orangeware Stemmed Bowl,Orangeware bowl has shallow walls and sharply bent lip of vertical profile on stem and high conical foot. Two additional fragments believed to belong also.
http://opencontext.org/subjects/0FD3EF41-92A8-497A-6D87-31AE8313F124,43.1533662,11.39945492,"43.1533662034539,11.3994549248096",-700,-535,vessel; oinochoai; Oinochoe; oinochoe; Oenochoe,pottery,Oinochoe,Incised; Impressed; Painted,,Italo-Corinthian Oinochoe,
http://opencontext.org/subjects/491F6032-7136-4978-77B7-F9306F8D2CF1,43.15263719,11.40195616,"43.152637190848,11.4019561612241",-700,-535,vessel; alabastra; alabastron; Alabastron,pottery,Alabastron,Pierced,"Three-fifths of the lip is missing. bore complete; handle missing. Surface worn, retaining little slip.",Alabastron Fragment,"Alabastron fragment consisting of wide flat circular lip, narrow and gently flaring body. Handle was transversely pierced and attached below lip. Circular bore narrows from lip to neck."
http://opencontext.org/subjects/b75557fb-2772-4adc-b479-3b8f8d852f1a,43.15271143,11.4008346,"43.1527114291748,11.4008345989387",-700,-535,vessel; cup,bucchero ware; Bucchero,Cup,Fluted,"Four associated fragments; Fragment A joined from 8 pieces, Fragment B joined from 6 pieces, Fragment C joined from 3 pieces, Fragment D is one associated piece. Surfaces worn and encrusted.",Fluted Bucchero Vessel Fragments,"Fragments of a bucchero vessel, possibly a stemmed cup, kantharos, or kyathos in form. Fragment A preserves an undecorated, basically vertical wall, approximately 0.022 m in height, which flares at the bottom to a sharply protruding, rounded carination. The carination is decorated with fifteen parallel, vertical flutes, all approximately 0.001 m in width, rounded at the top and pointed at the bottom. Beneath the carination the vessel wall cuts under and in at a steep angle. Fragments B and C preserve two undecorated, flat, finished surfaces. Fragment D does not preserve a finished surface and is likely from the inner fabric of the vessel."
http://opencontext.org/subjects/645E197E-8FDC-444F-5B94-17FE43DE4519,43.15340492,11.40141561,"43.1534049182699,11.401415608505",-700,-535,vessel; dish,bucchero ware; Bucchero,Dish,Relief,Total of 60 sherds preserves much of base and walls of vessel.  Fragment A glued from 18 sherds and Fragment B a single sherd; all extremely worn and friable.,"Decorated Bucchero Dish, Fragments",
http://opencontext.org/subjects/3A238558-9FA6-4EC6-A9A7-B5D4F8803252,43.15266824,11.40185399,"43.1526682400054,11.4018539865037",-700,-535,vessel; lid,bucchero ware; Bucchero,Lid,Incised; Stamped,"Fragment is composed of two pieces. Surface is worn heavily in some areas, lightly in others. Edges chipped and broken irregularly.",Stamped Bucchero Lid Fragment,"Pieces preserve the rim and inner lip of a lid. The fragment preserves the following incised and stamped designs: Two parallel lines on rim below two wider incised lines on body. Two narrow parallel lines then separate a band of seven concentric circles, one of which is barely visible. Three parallel lines separate this band from another band of concentric circles, four of which are preserved completely, two of which are fragmentary. Three parallel lines separate these circles from a band of asterisk rosettes, two of which are preserved completely. One line is visible above this band. All of the concentric circles are composed of three depressed circles with a dot in the center. The inner surface preserves well-defined concentric wheel marks."
http://opencontext.org/subjects/A04D574D-0A19-48B5-2B04-883E97956C5A,43.15272399,11.40208022,"43.1527239875733,11.4020802199009",-700,-535,vessel,terracotta; Terracotta,Form unspecified,,"Restored from three pieces; Broken off irregularly on all sides; surface worn, pitted and charred.",Terracotta Utility Vessel,"A large fragment, perhaps of a shallow utility vessel, preserving flat base and wall with sections of finished rim. Reverse side of base preserves a raised oval-shaped scar. Undecorated."
http://opencontext.org/subjects/97C3042A-F232-43BA-9A41-03B686FBEDEC,43.1534187,11.40146467,"43.1534187000352,11.4014646654662",-700,-535,vessel; tripod,bucchero ware; Bucchero,Tripod,Incised,Two legs missing and foot of third leg; missing small pieces from base and wall; rim chipped; glued from numerous pieces; worn and encrusted.,Tripod Bowl,"Tripod bowl preserving all but foot of one leg; bowl has a slightly convex base, vertical walls and slightly out-turned rim; the wall is decorated with two parallel incised grooves."
http://opencontext.org/subjects/856A17D0-CFA0-44BA-7F3F-1610DD5C51F8,43.15340115,11.40142678,"43.1534011541636,11.401426775565",-700,-535,vessel; plate,bucchero ware; Bucchero,Plate,Incised; Relief; Burnished,"Four separate fragments apparently from same vessel.  Fragments B and C glued from sherds; very worn, slightly encrusted.  Some pieces burnt: Fragment A black on bottom, dull gray on top; Fragment B black; Fragment C mottled gray-orange; Fragment D entirely black.",Buccheroid Plate Fragments*,"Four fragments apparently of same vessel, though not joining: possibly a plate or object with almost flat walls, flat thick curved rim set on at an angle, with raised ridge at joint with body on upper surface, and sloping sides.  Besides the raised flat-topped ridge, plate has relief decoration on one part of rim (Fragment A): a raised area, broken across middle - preserved right side has inward-curving volute with long, round-tipped projection extending from its upper curve to edge of rim, and triangluar raised area over center with traces of an opposed volute on left edge - seems similar to the ""bean"" patterns of other pieces, e.g. 19710533.  Inner or upper surface of body has very shallow incised, almost burnished pattern of two parallel horizontal grooves above and below a band of straight, vertical incisions which are slightly uneven but roughly parallel - this is preserved entire on Fragment C, and in part on Fragments B and D.  Area between rim and band, and below band is smooth."
http://opencontext.org/subjects/7E784E1B-9182-4B58-512B-638F2ECCA935,43.15265364,11.40180576,"43.1526536396182,11.4018057588695",-700,-535,vessel; pithoi; pithos; Pithos,terracotta; Terracotta,Pithos,,Base is reconstructed from five fragments. It preserves no finished edges. The surfaces are well preserved. The preserved portion of the wall is blackened on the interior from uneven firing.,Pithos Base with Grain Impression,"Fragment is circular and has been broken in half. The bottom surface is slightly concave, while the top surface is convex and slopes downward to the outer edge of the base before rising up to meet the vessel walls. A small portion of the interior vessel wall preserves a steep curve up from the base. An impression of a head of wheat is preserved roughly in the center of the top surface of the base."
http://opencontext.org/subjects/3590c9d4-9b0f-4b58-b0e4-70c14fed8df2,43.15258634,11.40087826,"43.1525863411577,11.4008782578003",-700,-535,vessel; jug,pottery,Jug,,"Fragment preserves two finished faces, two finished edges, one of which has ancient chips out of it, and three ancient break edges.  Fragment is worn, pitted, and encrusted.",,"A fragment of coarseware, which due to the uneven thickness, may have been coilmade.  The fragment has one finished edge 0.02027m long, which looks like a rim with a rounded profile.  Along one side of the rim is an ancient break.  On the opposite side is a section chipped in antiquity, max. pres. height: 0.02619m.  Adjacent to the chipped section is another finished edge which begins almost perpendicular to the finished rim edge, but then after 0.00764m carinates in an arc roughly at just under a ninety degree angle to the finished rim.  The curve arcs for only 0.00510m before it is terminated by another ancient break edge.  Both the interior and exterior faces are finished, with the interior showing several signs of finishing and smoothing out the fabric which are oriented at a forty-five degree angle to the rim.  The fragment tapers and also twists from the rim towards the ancient break edges so that the fabric is not of a consistent thickness, again possibly pointing to it being hand produced instead of wheel thrown."
http://opencontext.org/subjects/E408CC64-C69B-4A48-DFA7-30533625A7AA,43.15247078,11.40194985,"43.1524707825185,11.4019498505502",-700,-535,vessel; kantharoi; kantharos; Kantharos,bucchero ware; Bucchero,Kantharos,Incised; Stippled,The fragment is broken on all sides.  The surfaces are intact and suffer little wear.,Possible Kantharos Fragment,
http://opencontext.org/subjects/FA48616C-4558-4D1C-51E8-2F45FBB8E101,43.15260473,11.40203092,"43.1526047275541,11.4020309169039",-700,-535,vessel; cooking-vessel,terracotta; Terracotta,Cooking vessel,,One finished surface; broken off on all other sides.,Terracotta Object,"Terracotta object may be part of a cooking stand or forno. A section of the circular base remains. From it, the walls taper slightly outward. On the interior is the start of a thick horizontal projection, which may be a support for a crucible or some other vessel."
